Model,Accuracy,Precision_Pos,Recall_Pos,F1_Pos,F1_Macro,ROC_AUC
LogisticRegression,0.8601694915254238,0.9319371727748691,0.898989898989899,0.9151670951156812,0.7587883668349491,0.8764103018488983
MultinomialNB,0.8516949152542372,0.8497854077253219,1.0,0.9187935034802784,0.5325674834474563,0.8063087010455432
RandomForest,0.8700564971751412,0.871301775147929,0.9915824915824916,0.9275590551181102,0.6487110344083702,0.8885196999232087
SVM,0.8545197740112994,0.9269565217391305,0.8973063973063973,0.9118905047048759,0.74744322806094,0.8709979916120267
ExtraTrees,0.8870056497175142,0.8905775075987842,0.9865319865319865,0.9361022364217253,0.7241486791864724,0.902733475101896
AdaBoost,0.8742937853107344,0.9001584786053882,0.9562289562289562,0.9273469387755102,0.7306891761940378,0.8150215606355957
XGBoost,0.8757062146892656,0.885670731707317,0.9781144781144782,0.9296,0.6997397590361446,0.858113296709788
